customerID,SeniorCitizen,Partner,tenure,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,StreamingTV_No internet service,StreamingTV_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
7590-VHVEG,0,1,-1.2665591479108347,1,-1.1923216033043567,-0.9926347922928804,0,0,0,0,0,0,0,0,0,0,1,0
5575-GNVDE,0,0,0.0893056049839504,0,-0.01424298207086913,-0.1720018517897291,0,1,0,0,1,0,0,1,0,0,0,1
3668-QPYBK,0,0,-1.2254723372170533,1,-0.3761008495629102,-0.9580822908859506,1,1,0,0,1,0,0,0,0,0,0,1
7795-CFOCW,0,0,0.5412605226155454,0,-0.7689070873009815,-0.19351442450477152,0,1,0,0,1,0,0,1,0,0,0,0
9237-HQITU,0,0,-1.2254723372170533,1,0.24932830299147296,-0.9388864567709898,1,1,0,0,0,0,0,0,0,0,1,0
9305-CDSKC,0,0,-0.978951473054365,1,1.1815204221603504,-0.6437339591206079,1,1,0,0,0,0,1,0,0,0,1,0
1452-KIOVK,0,0,-0.40373612334142595,1,0.8227233824948391,-0.14556896757165644,0,1,0,0,0,0,1,0,0,1,0,0
6713-OKOMC,0,0,-0.8967778516668024,1,-1.1957225231116126,-0.8725836044543719,0,0,0,0,1,0,0,0,0,0,0,1
7892-POOKP,0,1,-0.15721525917873777,1,1.3566677922340356,0.3383646297196516,1,1,0,0,0,0,1,0,0,0,1,0
6388-TABGU,0,0,1.2397363044098286,0,-0.29787969399602165,0.533367827315082,0,0,0,0,1,0,0,1,0,0,0,0
9763-GRSKD,0,1,-0.7735174195854582,1,-0.5087367220458952,-0.7465750887870825,0,0,0,0,1,0,0,0,0,0,0,1
7469-LKBCI,0,0,-0.6502569875041141,1,-1.5630218622952636,-0.8615956442368425,0,0,1,1,0,1,0,0,0,1,0,0
8091-TTVAX,0,1,1.075389061634703,0,1.205326860811142,1.5011688293662673,0,1,0,0,0,0,1,1,0,1,0,0
0280-XJGEX,0,0,0.7056077653906708,1,1.3192576743542193,1.2166292009219728,1,1,0,0,0,0,1,0,0,0,1,0
5129-JLPIS,0,0,-0.28047569126008187,1,1.3804742308848277,0.1795025542854922,0,1,0,0,0,0,1,0,0,0,1,0
3655-SNQYZ,0,1,1.5273439792662982,1,1.6440455159471699,2.4781926574634907,0,1,0,0,1,0,1,0,1,1,0,0
8191-XWSZG,0,0,0.8288681974720149,0,-1.5052062255719112,-0.5543961058660368,0,0,1,1,0,1,0,1,0,0,0,1
9959-WOFKT,0,0,1.609517600653861,0,1.4978059642351607,2.2518583283241007,0,1,0,0,1,0,1,0,0,0,0,0
4190-MFLUW,0,1,-0.8967778516668024,0,-0.09110376971485527,-0.772654946170857,1,0,0,0,0,0,0,0,0,1,0,0
4183-MYFRB,0,0,-0.44482293403520734,1,0.8550321206637714,-0.18373999403014196,0,1,0,0,0,0,0,0,0,0,1,0
8779-QRDMV,0,0,-1.2665591479108347,1,-0.8590314621932661,-0.9883102135727282,1,0,0,0,0,0,0,0,0,0,1,0
1680-VDCWW,0,1,-1.2090376129395408,0,-1.5341140439335876,-0.916557509501633,0,0,1,1,0,1,0,1,0,0,0,0
1066-JKSGK,0,0,-1.2665591479108347,0,-1.5222108246081913,-0.9969152426587452,1,0,1,1,0,1,0,0,0,0,1,0
3638-WEABW,0,1,1.075389061634703,1,-0.012542522167240729,0.5409358400753482,0,0,0,0,0,0,0,0,1,1,0,0
6322-HRPFA,0,1,0.7056077653906708,0,-0.18054796064568862,0.3049374013470472,0,0,0,0,1,0,0,0,0,1,0,0
6865-JZNKO,0,0,-0.32977986409261945,1,-0.32678751235769793,-0.3303785153267286,0,0,0,0,1,0,0,0,0,0,0,0
6467-CHFZW,0,1,0.6234341440031081,1,1.171317662738582,1.0899146315860868,1,1,0,0,0,0,1,0,0,0,1,0
8665-UTDHZ,0,1,-1.2665591479108347,0,-1.1804183839789606,-0.992480343052875,1,0,0,0,0,0,0,0,0,0,1,0
5248-YGIJN,0,1,1.6506044113476424,1,0.8618339602782836,1.8049263561026658,0,0,0,0,1,0,1,0,1,1,0,0
8773-HHUOZ,0,0,-0.6091701768103328,1,-0.007101050475631202,-0.5234400653335195,1,0,0,0,0,0,1,0,0,0,0,1
3841-NFECX,1,1,1.609517600653861,1,1.069290068520901,1.9803365643945505,0,1,0,0,1,0,0,0,1,1,0,0
4929-XIHVW,1,1,-1.2254723372170533,1,1.040382250159225,-0.9256479504848099,0,1,0,0,0,0,1,0,0,1,0,0
6827-IEAUQ,0,1,-0.19830206987251914,0,0.042212286729581286,-0.1786431691099627,0,0,0,0,1,0,0,0,0,0,0,1
7310-EGVHZ,0,0,-1.2665591479108347,0,-1.5205103647045632,-0.9968931784816016,0,0,1,1,0,1,0,0,0,0,1,0
3413-BMNZE,1,0,-1.2665591479108347,0,-0.6685799529869285,-0.9858390257326414,0,0,0,0,0,0,0,0,0,0,0,0
6234-RAAPL,0,0,1.6506044113476424,0,1.1900227216784904,2.1942487618020747,0,1,0,0,1,0,1,0,0,0,1,0
